Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
309,Southeastern Louisiana,Slnd,28,10–18,98.2,112.4,0.174,50,50.6,18.5,15.9,25.3,33.5,39,43.9,47.5,50.9,36.5,33.3,35.1,30.7,65,-13.9
310,Central Connecticut,NEC,29,10–19,97.4,111.6,0.1725,48.1,50.9,19.9,18.2,28.8,36.4,29.6,34.2,47.3,48.8,33.5,36.6,28.4,34,70.2,-14.5
311,LIU,NEC,29,9–20,103.5,118.7,0.1706,49.4,54.6,18.6,15.6,31,33.9,37.8,30.9,47.8,52.5,34.5,39,38.2,35.7,68.1,-15.1
312,Tennessee Martin,OVC,29,6–23,102.2,117.5,0.1682,48.1,58.8,16.2,19.5,30,32.7,35.1,49.7,45.8,59.4,34.9,38.2,34.4,31.4,69.6,-17.4
313,Alabama A&M,SWAC,28,12–16,91.6,105.4,0.1665,46.3,45.2,19.8,20.2,27.6,34.2,41.5,54.6,45,44.5,32.3,31.4,35.6,28,65.8,-12.3
314,NJIT,ind,25,9–16,96,110.6,0.164,48,50.3,18.6,18.8,26.1,32.7,38.8,47.5,45,49.8,35.7,34.1,35.4,39.5,68.8,-12.3
315,UNC Greensboro,SC,29,11–18,94.4,109.1,0.1603,47.3,50.5,19.6,17.2,28.6,28.5,37.8,47.5,46.1,50.5,33.6,33.7,26.7,32.3,70.5,-13.1
316,Saint Francis,NEC,31,10–21,95.8,110.7,0.1588,47.6,52.4,17,17.5,26,32.2,32.7,30.1,47.3,50.8,32,37.5,41.7,30.1,63,-15.7
317,Alabama St.,SWAC,28,16–12,96.6,112.1,0.1538,46,49.6,17.6,21.3,34.1,35.1,40.9,39.8,47.8,51,28.3,30.9,32.3,30,67.5,-9.3
318,Arkansas Pine Bluff,SWAC,29,11–18,93,108.2,0.1502,47,54,22.3,23.9,29.2,33.4,41.1,50.7,44.7,53.3,34.1,36.8,35,36.7,66.7,-11.9
319,McNeese St.,Slnd,29,9–20,96.6,112.3,0.1502,44.1,51.8,18.2,18.9,32.8,36.1,33.6,36.6,43.5,48.3,30.2,38.9,36.6,34.3,67.9,-12.5
320,Delaware St.,MEAC,28,7–21,96.5,112.4,0.1474,46.3,49.5,19.5,18.1,29,35.7,38.7,41.1,45.8,51.5,31.6,30.7,31.1,36.2,59.9,-15.6
321,Campbell,BSth,28,9–19,98.7,115,0.1462,51.3,52,20.3,16,31,36.2,27.4,37,50.2,51.7,35.1,35.1,45.7,29.9,63.8,-14.7
322,IU Indy,Sum,29,3–26,96.7,113,0.143,46.5,54.1,17.2,15.3,22.7,31.9,32.6,33.2,46.8,53.6,30.4,37,25.4,28.8,66.3,-19.6
323,Samford,SC,30,10–20,99.9,117,0.1394,51.8,53.3,18.9,17.1,27.1,33.7,38.9,49.1,53,52.3,32.6,36.8,27.6,33.4,67.3,-15.2
324,Alcorn St.,SWAC,28,9–19,93.3,109.5,0.1367,45.2,49.5,17.8,19.1,28.6,34.5,41.4,41.4,45.2,48.2,30.1,34.8,28,31.1,63.8,-14.8
325,Cornell,Ivy,27,1–26,101.2,119.2,0.1324,46.7,56.8,18.2,15.5,28.1,32.7,28.2,47,46.5,54.4,31.4,41,38.7,34.3,66.1,-18.3
326,Prairie View A&M,SWAC,33,10–23,95.9,113.1,0.13,46.8,51.8,20.4,19.5,31.1,36.9,40.6,50.1,44.8,51.7,33.9,34.7,33.6,31.2,67.5,-17
327,New Orleans,Slnd,24,9–15,94.8,111.8,0.13,46.7,53.2,23.4,19.7,34.1,33.1,51.8,42.5,45.6,52.7,32.9,36.4,28.4,28.9,71.8,-10.1
328,Central Arkansas,Slnd,27,6–21,95.1,112.3,0.1296,49.3,52,20.3,19.2,28,37.8,38.2,49,46.9,52,36.7,34.5,29.9,27.6,72.2,-16.4
329,Binghamton,AE,30,7–23,92.1,109.5,0.1202,43.9,52.8,21.5,19.8,29.1,32.4,44.2,40.8,41.5,49.6,32,38.5,36.6,39.6,66.2,-17.9
330,New Hampshire,AE,29,5–24,88.9,106.1,0.116,43.7,46.6,20.5,17,27.3,29.1,32.3,43.8,39.7,46.5,32.9,31.3,41.5,34.2,62.7,-19.1
331,UMBC,AE,28,8–20,91.2,109,0.1145,45.4,51.3,21.3,21.7,29.1,31.3,40.2,57.4,44.7,49.5,31.1,36.3,35,35.9,68.7,-15.1
332,Stetson,ASun,30,7–23,94.4,113.1,0.1113,47.1,53.2,19.4,18.8,27.5,36.3,36.7,38,48.8,51.7,29.2,37.2,33.8,35.9,63.5,-18
333,Appalachian St.,SC,26,5–21,92.2,110.5,0.1109,44.2,52.7,18.7,18.9,33.4,31.3,41.1,43.1,44.3,51.6,29.4,37.1,28.3,28.2,66.4,-16.4
334,North Carolina A&T,MEAC,31,8–23,94.2,112.9,0.1108,42.7,50.1,22.1,17.9,33.4,32.1,58.6,54.4,41.9,47.8,29.5,35.9,34.8,37,67.2,-17.8
335,Lamar,Slnd,30,4–26,93.9,112.9,0.1076,46.7,54.5,20.2,18.5,27.6,34.2,39.8,38.5,46.8,53.5,30.8,37.9,19.3,29.8,68.8,-21.1
336,Furman,SC,27,7–20,95.2,114.6,0.1067,48.8,52.5,20.9,16.1,26.5,34.9,40.6,29.9,48.9,51,32.4,37,31.1,34,65.3,-15.9
337,UMass Lowell,AE,27,9–18,93.7,112.8,0.1061,45.6,50.3,20.8,18.2,28,36,38.8,35.5,43.9,51.7,32.1,31.8,40.1,34.7,65,-12.2
338,Houston Christian,Slnd,29,4–25,92.1,110.9,0.1057,46.3,50.9,22.4,16.4,30.6,33.6,39.5,43.2,44.8,51,33.7,33.7,26.2,30.1,69.6,-19.6
339,Kennesaw St.,ASun,29,4–25,91.9,110.7,0.1056,47.2,51.2,23.8,18.1,31,34.8,38.3,47.3,45.3,51.4,34,33.8,32.2,29.2,67.9,-19.7
340,Howard,MEAC,31,6–25,88.2,106.2,0.105,42.1,49.9,24,21.3,31.8,36.3,49.3,54.4,38.9,49.8,32.9,33.4,30.5,38,67.7,-18.9
341,South Carolina St.,MEAC,28,7–21,92,111.6,0.0981,43.5,50.2,22.5,17.7,35.5,34.3,33.6,44.6,44.2,50,28,33.8,30.8,34,66.6,-15.9
342,Maine,AE,28,5–23,94.6,115.2,0.0936,48.9,53.2,20.3,17.6,24.5,35.5,33.9,39.4,48.7,52.9,32.9,36.1,31.9,31.5,74.8,-17.6
343,Longwood,BSth,28,4–24,95.9,117.1,0.0917,47.1,55.7,18.8,18.2,26.8,35.3,30.9,44.4,45.6,55.2,34.1,37.7,28.4,38.7,68.4,-18.9
344,Maryland Eastern Shore,MEAC,28,5–23,98.3,120.1,0.0907,45,54.3,18.7,19,32.3,35.9,42.3,43.6,43.4,53,32.1,38.1,34.3,32.4,66.8,-18.6
345,The Citadel,SC,29,4–25,95.7,117.1,0.0889,47.7,51.6,19.2,14.8,27,34.6,34.4,36.4,45.1,51.1,35.7,35.1,31,33.4,65.6,-20
346,Abilene Christian,Slnd,21,2–19,94.5,115.8,0.0881,47.2,56.4,22.3,18,24.9,33.8,42.3,48.3,42.3,56.8,37.3,37.1,35.6,30.3,64.9,-14
347,Bethune Cookman,MEAC,30,5–25,95.7,117.4,0.0871,45.7,51.7,19.7,19.7,31.8,38.7,34.1,53.4,41.3,51.1,35.8,35.3,35.8,33.8,62.4,-20.3
348,Mississippi Valley St.,SWAC,29,6–23,93.9,115.8,0.0827,45.3,54.8,20.3,18.6,29.9,32,36.1,49.3,44.7,54.5,31.1,37.2,33.9,26.2,72.9,-18.1
349,Presbyterian,BSth,30,4–26,94.8,118.6,0.0707,50.1,54.1,19.1,15,21.6,34.5,30.6,28.3,49.2,52.7,34.7,37.7,31.1,36,65.4,-21.6
350,Grambling St.,SWAC,27,4–23,94.2,122.7,0.0458,46.5,57.4,21.9,18.3,30.6,36.1,40.5,40.5,45.3,57.7,32.5,37.9,35.4,33.5,68.4,-19.2
351,Southern Utah,BSky,28,1–27,87.6,114.3,0.045,44.7,53.1,21.4,16.6,23.8,34.2,39.3,57.7,43.1,51.4,32.6,38.3,27.6,28.2,65.4,-21.8
