Rk,Team,,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
214,Arkansas St.,SB,33,13–20,99.6,103.8,0.3838,47.8,51.2,21.3,20,34.1,30.7,41.2,27.8,44.6,47.8,37.7,39.7,26.9,29.1,63,-11
215,Rhode Island,A10,31,7–24,101.6,106,0.381,44.5,53.6,20.9,19,39,31.4,34.3,35.7,45.7,53.8,27.8,35.5,31.4,34.3,67.7,-14.1
216,Jacksonville St.,OVC,30,13–17,95.8,100.2,0.3726,45.8,47.6,19.8,22.8,33.6,32.8,40.5,49.9,48.5,47.5,26.4,31.9,30.7,25.9,64.4,-11.7
217,South Alabama,SB,28,16–12,98.6,103.3,0.3706,46.8,47.3,24.2,18.8,42.6,33.2,37.7,31.3,45.4,45,34,34.5,25.2,34.7,65.6,-5.9
218,Seattle,ind,25,10–15,97.6,102.2,0.3701,48.5,49.9,19.9,20.1,33.7,29.6,25.7,44.3,48.2,47.8,32.6,35.8,33.4,36.4,75.2,-10.2
219,UNC Wilmington,CAA,30,10–20,99.6,104.4,0.3685,46.6,48.8,20.7,16.7,34,33.3,33.6,37.3,45.4,50,32.9,30.8,30.9,32.9,66.9,-11.8
220,Arizona St.,P12,31,10–21,98.9,103.7,0.3678,51.7,49.6,25.7,17.8,29.6,30.1,41.3,38.3,50.2,46.6,36.4,36.8,34.5,35.3,63.7,-11.3
221,Holy Cross,Pat,30,15–15,97.2,101.9,0.3651,47.5,48,20.6,17.3,29.4,30.4,32.4,31.1,46.3,49.1,33.5,30.7,31.4,34.8,66.7,-8.8
222,Rider,MAAC,32,13–19,102.3,107.5,0.3627,52.2,50.6,21.7,18.4,28.2,34.9,40.9,33.4,49.5,48.5,37.7,35.8,38.1,39.1,68.8,-11.6
223,Cal St. Bakersfield,ind,29,15–14,100.6,105.8,0.3612,51.1,53.1,22.3,22.8,34.9,32.8,34.2,48.6,49.5,53.7,36.3,34.7,31.6,36.4,66,-8.7
224,USC,P12,32,6–26,89.4,94,0.3599,42.6,48.5,17.4,24.5,23.7,35.7,26.9,33.2,43.3,47.4,27.1,34.1,28.3,29.7,61,-14.1
